Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
Norwegian University of Science And Technology,33.2,25.2,22.3,30.4,75.1,9.3,94.4,89.4,86.4,71.3,78.7,95.5,75.2,92,83.9,77.5,39.2,75.3,99.1,3
UCSI University,27,65.1,78.1,3.6,89.1,95.8,37.6,10.2,57.7,57.7,74.2,63.1,74.5,29.7,57.2,51.7,95.7,34.1,41.4,3
Universitat Pompeu Fabra (Barcelona),31.7,29.4,12.1,67.1,75.6,24.5,74,16.4,77.1,34.2,93.1,80.9,69.7,85.8,73.2,73.4,34.8,1,75.7,3
University of Witwatersrand,26.5,42.1,8.9,30.5,75.1,5.8,96.8,98.9,84.5,69.5,91.3,89.2,87.3,84.5,74.5,83.5,32,87.2,86.1,3
University of Antwerp,24.1,11.3,37.5,48.1,94.4,32,94.6,44.8,84.3,62.7,81.3,85.5,81.1,86.3,75.7,97,34.8,57.5,98.2,3
Universiti Teknologi PETRONAS (UTP),19.5,28.1,38.5,79,83.9,20.1,63.9,4.1,66.9,48.9,35.3,58,84.2,37.6,75.5,75.2,39.7,33.6,76.9,3
Tianjin University,17.2,13.5,38.8,99.5,24.8,25.4,65.2,32.4,69.2,47.6,24.1,55.1,77.6,60.8,83.4,64.6,16.1,52.8,74.3,3
Beijing Normal University ,33.9,10.3,24.2,92.6,6.6,21.3,70.8,10.5,66.9,51.9,26.8,52.2,83.1,68.9,67.3,65.6,21.9,56,78.5,3
Radboud University ,28,14.1,27,66,81.3,18.6,93.9,19.6,79.4,54.3,31.7,80.4,67.2,92.3,79.7,78.7,28.1,54.4,82.1,3
University College Cork,30.1,35.1,22.1,28.5,89,52.1,69.1,34,89.8,72.9,87.6,92.9,88.8,76.6,89.7,94.2,55.7,68,94.3,3
University of Galway,26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6,87.7,69.3,82.6,95.9,82.9,79.3,82,94.4,39.9,72.1,95.4,3
Dalhousie University,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,85.4,73.6,85.5,91.4,81,81.9,78.2,93,41.7,81.1,96.2,3
University of Massachusetts Amherst,38.2,17.2,10,48.8,61,25.3,79.8,30.6,84.3,72.4,72.2,91.3,81.5,68,80.5,94.2,50.5,70.2,96.9,3
University of Pittsburgh,35,12.7,96.3,31.3,9.5,13.5,91.7,42.6,82.9,55.9,49.3,81.1,86.3,79.2,86.1,74.8,34.3,57.1,77,3
Vrije Universiteit Brussel (VUB),23.3,13.7,76.1,18.2,93.6,58.2,93.1,51.8,84.7,65,57.7,86.3,78.3,89.6,77.9,94.8,36.2,64.9,95.5,3
University of Porto,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,80.1,61.6,36.1,70.5,88.6,92,76.9,70.6,50.4,52.7,82,3
Ulsan National Institute of Science and Technology (UNIST),13.6,13.5,87.9,98.1,29.3,9.6,24.8,3.3,50.3,55.5,68.7,31.9,42.7,47.2,70.6,74.6,38.1,43.4,88.1,3
University of Strathclyde,25.9,30,16.7,31.8,93,64,85,33.6,84.7,74.5,88.9,87.6,79.1,72.9,86.6,95.4,69.3,62.7,91.9,3
The Hebrew University of Jerusalem,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,78.5,50.5,34.5,70.3,77.7,88,81.1,75.5,13.7,65.3,70.9,3
Université Paris 1 Panthéon-Sorbonne ,65.6,33.3,4.6,2.9,34.3,46.5,70.3,74.8,74.1,41.2,60,87.2,65.4,78.3,58.2,86.9,27.9,18.5,84.5,3
Southern University of Science and Technology,9.3,2.5,89.7,98.8,37.5,1.4,48.3,1.6,55.6,65.4,62.4,50.7,72.6,19.7,56.4,83.1,37.4,68.7,90,3
University of Cologne,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,88.2,76.3,87.3,93.9,82.2,81,84.9,96.4,73.2,70.6,82.7,3
University of Leicester,19.8,13.7,30.8,43.4,80,95.3,88.8,22.7,81,69.7,63.8,87.3,70.8,75.4,79.5,92.2,38.9,76.3,93.3,3
University of Milan,52.8,17,6.4,39.6,6.5,6.8,85.5,44.1,83.6,65,73.4,86.2,88.4,80.8,77.7,80.1,40,70.9,82.3,3
Middle East Technical University,31.2,70.2,9,22.3,12,18.3,74.7,77.5,79,63.8,80.8,82.4,90.7,68.4,72.5,69,42.1,70,77.8,3
Universidad Carlos III de Madrid (UC3M),33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,80.8,58.4,93.3,93.3,73.8,79.7,75.7,72.8,40,68.5,63.7,3
University of Surrey,19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4,79.2,44.8,38.4,76.5,78.7,70.9,85.4,77.9,22,36.1,81.1,3
