Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
University of Tehran,20.6,26.8,3,79.1,2,2,86.2,23.1,54.7,42.8,17.2,33.4,64.9,54,67,61,4.1,51.8,74,3
University of Turin,41.5,7.2,3.2,33.3,4.1,5.3,87.5,51.7,80.6,70.8,96.2,80.5,87.8,79.6,65.4,93.8,58.8,70.5,81.4,3
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),31.8,27.7,38.9,16.7,10.1,19.8,85.3,26.3,79.2,72.2,91.5,76.4,89.6,70.3,73.7,84.3,49.4,73.4,92.7,3
Lincoln University ,8.2,5,31.8,52.1,100,96.3,20.2,40,64.4,63.8,82.9,92.8,55.5,23.4,57.2,87.1,46.9,61.1,84.1,3
George Washington University,25.2,28.8,27.3,27.5,24.6,34.4,79.5,74.5,77.1,47.6,31.2,75.8,75.1,72.8,82.3,73.6,20.5,47.2,76.7,3
University of Florence,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,81.3,62.7,92.7,77.2,95.2,85.1,64.9,88.3,36.3,61.5,91.8,3
University of Turku,27.8,12.1,52.3,29.3,33.2,4.4,86.3,39.9,82.4,49.8,76.4,84.4,77.6,89.7,69.6,97.4,31.6,34.1,89,3
University of Tsukuba,36.6,22.5,54.7,17.3,12.4,19.3,66.9,9.8,74.3,69.3,58.4,69.3,85.9,42.5,80.1,91.5,46,71.3,90.1,3
Nankai University,18.5,9.8,25.4,82.9,12.3,2.7,51.1,37.9,63.5,45.3,28.9,52.4,72.7,58.5,70.4,63.8,15.5,49.1,73,3
Pontificia Universidad Javeriana,45.3,56.6,26.3,1.6,3.4,2.5,42.2,78.3,64.4,40.1,47.8,61.7,81.7,66.6,53.4,56.9,39.2,37.8,42.4,3
University of Kent,15.4,10,14.6,45.7,95.1,49.8,78.8,34,74.6,57.5,40,86.3,65.3,77.4,65.2,77.1,43.5,54.5,74.3,3
University of Pisa,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15,79.4,55,78.9,73,82.2,81.2,76.6,87.9,18.5,61,86.1,3
Anna University,10,12,5.5,100,0,1.3,89.2,5.9,54.7,60.9,61.5,52.7,79,31.4,50.7,55.5,43.5,67.7,69.1,3
 Western Sydney University,19.9,14.2,4.8,31,100,45.5,87.4,8.9,87.3,70.4,98.4,95.9,92.8,84.4,66.9,95,61.3,61.6,88.4,3
Universiti Brunei Darussalam (UBD),20.2,8.8,92.9,9.9,100,46.5,35.4,56.5,60,50,30.6,71.5,67,58.8,49,46.3,16.1,69.4,61.2,3
South China University of Technology,12.1,6.6,20,97.8,10.7,4.6,51.3,27.3,60.2,42.8,21.5,52,64.4,53.7,69.3,63.2,13.7,44.3,72.4,3
Universidade Nova de Lisboa,28.7,21.8,15.9,23.9,25.3,57,86.3,48.7,76.9,50,57,74.1,83.9,76.3,75.2,69.6,16.9,57.7,76.2,3
Virginia Polytechnic Institute and State University,26.4,26.2,18.9,28.4,71.8,16.5,82.6,24,78,50.7,37.9,69.5,84.1,68,87.8,74.4,15.2,56.6,81.7,3
University of Cyprus (UCY),10,4.7,4.5,75,93.8,20,73.4,42.1,62.1,36.3,28.2,60.2,56.2,89.4,50.1,67.4,20.9,30.4,59.8,3
Università Vita-Salute San Raffaele,3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1,49.8,9.1,56.9,73.3,33.7,66.6,22.7,65,5.2,1,23.6,3
National Taiwan University of Science and Technology (Taiwan Tech),27.6,37.9,43.5,29.4,19.7,25.5,29.8,19.9,60.7,62.3,77.3,44.2,52,72.2,77.7,65,41.7,67.8,75.7,3
"University of California, Santa Cruz",17.7,5.9,7.4,65.3,53.4,7,64.5,6.1,80.8,73.8,82.4,95.5,79.1,68.9,65.9,93.2,49.6,74.3,97.4,3
"University of Rome ""Tor Vergata""",31.3,15.4,9,47.2,9.6,30.8,69.1,6.3,78.5,55.7,81.9,73.5,86.2,79.9,68.7,89.5,31.8,53.2,83.7,3
National and Kapodistrian University of Athens,26.7,33.2,2.1,31,9.9,15.9,86.6,85.8,79.6,45.8,35,85,79.1,77.7,70.2,87.7,21.5,37.1,82.7,3
Université de Liège,17,11.8,9.6,38,50.3,53,94.6,23.6,85,73.8,52.4,79.5,90,91.2,75.4,94.2,57.9,69,94.4,3
Northeastern University,19.2,11.8,15.4,24.6,51.6,96.4,67.3,44,80.3,67.2,69.7,91.6,68.8,69.9,76,93.4,44.9,63.7,94.4,3
Ruhr-Universität Bochum,20.3,8.8,2.5,53.4,48.8,39.3,87.3,16.2,78.5,54.3,76.5,81.8,77.5,78.1,69.6,86.9,37.7,40.4,88.2,3
Sejong University ,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,69,60.4,67.6,56,59,73.9,79.9,87.7,20.8,68.3,93.1,3
University of Southern Queensland ,8.8,5.7,4.8,73.1,84.1,23,81,8.6,72.2,55.5,67.7,82.6,60.1,78.3,62.3,82.1,30.1,53,85.5,3
Koç University,24.3,54.6,19.1,32.4,24.7,13,51.6,6.8,74.8,44.8,77.9,91.5,86.1,58,60.3,63.6,49.1,18.5,72.6,3
Kazan (Volga region) Federal University,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,58.6,51,77.6,60.3,81.5,62.1,38.8,49.7,37.9,67.3,42.2,3
University of Canberra ,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,79.2,62.5,91,91,77.4,82.5,58.2,92,43.1,64.2,79,3
Amirkabir University of Technology,5.2,20.5,4.6,100,24.6,2.8,70.2,5.8,39.4,39.7,13.7,14.4,62,31.3,50.5,49.1,4.1,54.6,59.6,3
Satbayev University,27.8,43.4,88.1,1.2,66.7,16.9,15,23.6,38.2,43.3,73.9,47,44.4,25.3,40.5,28.8,38.9,73.5,7,3
Institut National des Sciences Appliquées de Lyon (INSA),7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,56.7,29.5,21.4,43.5,55.2,57.2,68.1,69.2,9.1,19.6,64.9,3
Masaryk University,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36,82.7,65.9,89.6,85.8,91.3,66.6,77.5,86.7,43.9,66,87.4,3
"Birkbeck, University of London",10,3.6,15.6,57.1,97.7,99.5,55.5,8.8,60.9,42.1,27.1,66.6,48.4,73.4,58.6,63.6,17.7,46.9,61.3,3
HSE University,24,38.4,84.8,1.8,6.6,13.5,83.6,13,73.4,49.4,95.2,77.2,83.1,65.8,70.7,57.9,35.3,56.6,53.8,3
The American University in Cairo,32.1,31.1,35.5,5.2,97,3.8,29.4,75.6,57.9,44.2,77,75.3,62.3,33.1,58.9,44.3,40.8,38.1,53.5,3
Auckland University of Technology (AUT),19.3,11.2,10.6,21.7,100,99.8,52.6,12.4,77.6,65.2,92.4,95.1,73.1,66,65,84.3,54.9,58.4,82.8,3
Yeshiva University,3.1,2.8,65.3,91.6,31.4,13.5,6.6,3,66.9,35.1,84.3,87.2,58.1,61.5,46.9,86.9,49.5,24.5,30.6,3
Graz University of Technology,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,52.4,36.3,21.1,35.6,50.1,62.9,59.5,72,21.3,23.3,68.8,3
Concordia University,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,80.6,79.9,89,91.8,75.8,80,68.1,86.1,93.7,57.1,89.4,3
Technion - Israel Institute of Technology,23.9,24.8,52,20.1,74.2,4.3,59.1,35.3,62.5,52.1,23.9,60.7,35.1,66.9,81.8,74,37.9,49.7,69.6,3
Oxford Brookes University,30.7,37.6,13.7,7,67.5,67.4,68.4,20.5,69.7,41.9,25.9,72.2,62.4,74.2,72.3,63.4,40.6,23,66.1,3
 University of Dundee,18.4,13.7,30.8,14,91.1,89.4,75.2,7.4,78.7,54.1,83.2,84.5,68.3,73.8,74.2,97.4,39.9,38,88.4,3
Czech Technical University in Prague,22,42.4,80.6,3.6,19.9,50.2,59.4,15.6,54.4,35.6,66,46.5,69.9,43.1,61,47.7,33.3,28.3,46.2,3
Dublin City University,20.1,26,25.8,10.7,75,22.6,75.4,35.3,84,66.3,96.9,97.6,73.9,73.9,79.9,87.7,77.9,55.7,62.9,3
University of Limerick,18.3,25.5,15.7,23,87.1,30.8,72.5,8,84.5,60.2,96.8,95.7,78.4,77.1,78.5,87.9,69.7,31.1,84.1,3
Université Laval,19.2,8.1,26,23.8,55.8,41.6,80.2,36.4,82.4,65,91.5,76.5,84.8,80.8,79.2,93,52.4,62.2,79.6,3
Aston University,12.5,18.5,9,34.4,94.2,53.8,79.2,19.6,76.9,54.6,62.2,89.8,58.5,59.9,81.3,91.5,48.8,34,85.1,3
National Taipei University of Technology,13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5,57,60.2,76.7,46.9,48.5,56.3,77.3,57.9,38.9,70.6,68.1,3
Leibniz University Hannover,21.2,32,17.9,17.4,46.3,26.9,78.5,14.5,80.3,72.2,85.4,80.4,70.9,74.2,83.3,95.6,53,74,87.8,3
IPB University (a.k.a. Bogor Agricultural University),23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,54.7,63.4,86.5,53.1,83.2,27.5,57.9,36.8,49.2,83.6,49.9,3
Southeast University,13.5,6.6,20.8,82,14.4,3.4,69.2,5,64.6,44.8,27.2,53.2,72.8,56,75,63.6,15.9,47.8,72.3,3
Julius-Maximilians-Universität Würzburg,15.8,7,5.5,74.4,45,9.5,78.5,8.7,66,39.9,21.8,53.6,62.3,80.2,70.3,76.1,8.7,39.6,74.9,3
University of Science and Technology Beijing,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,52.4,40.1,20.9,32.9,63.1,50.5,64.9,59.2,4.8,48.7,67.5,3
University of Granada,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,71.8,51,34.7,59.7,79.5,86.8,65.8,73.4,24.4,54.5,74.2,3
Central South University,8.6,4.1,5.5,99.7,6.4,4,67.5,14.1,62.3,31.3,22.4,55.9,65.4,52.4,72.9,64.6,13.9,14,72.1,3
Tomsk State University,22,13.5,99,4.2,21.6,91.6,64.1,4.4,39.4,33.5,26.9,28.3,55.6,51.7,40,24.5,10.5,52.4,33.9,3
University of Sharjah,18.1,17.3,6,22,100,100,84.8,11.2,61.4,48,28.9,59.4,65.8,44.9,68.3,67,30.7,47.8,66.4,3
IE University,8.1,49.3,46.5,2.2,95.2,100,3.5,65.6,57.4,31.7,49.6,86.4,24.9,66.4,55.2,48.9,52.5,18.5,23.7,3
Universitat Politècnica de València,26.5,16.3,36.1,19.7,5.5,25,84.9,11.7,80.8,65.2,89.9,84.6,87,68.3,70.5,92.2,40,67.3,88.4,3
Murdoch University,8,4.5,5.2,57.3,85.6,73.9,74.9,14.8,67.2,42.1,26.8,65.7,55.8,83.4,64.5,75.9,14.1,41.9,73,3
Iran University of Science and Technology,7.8,14,2.7,98.7,12,1.5,53.4,5.3,41.9,36.3,15.9,18.7,56.8,28.4,57.9,59.2,4.1,40,67.2,3
Vilnius University ,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,67.4,48,72,69.5,63.4,72.9,64.9,70.2,49.7,37.1,57.4,3
Università degli Studi di Pavia,21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5,73.2,40.3,31.1,73,79.2,77,64.1,72.8,21.8,31.3,71.4,3
Colorado State University,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,77.8,72.7,51,79.1,74.1,70.2,83.4,75.3,61.5,72.5,82.2,3
Università Cattolica del Sacro Cuore,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,82,52.5,72.7,79,82.6,79,80.7,88.7,46.4,30.9,84.4,3
Novosibirsk State University,24.7,18.4,91,9.5,6.3,57,56.5,5.8,39.9,47.1,72.3,39.3,57.5,25.5,38.4,38,28.1,67.3,40.4,3
James Cook University,14.4,6.5,17.5,46.9,36.7,16,76,6.7,85.4,72,97.9,89.9,93.7,83.8,65.4,95.2,38.8,83.6,91.4,3
Universitat de Valencia,35.6,11,12,19.9,2.1,24.3,89.3,8.4,83.8,64.5,92.6,86.6,91.8,83.2,66.5,93,51.5,64.2,77.3,3
Justus-Liebig-University Giessen,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,68.1,41.2,25.1,58.3,69.8,74.5,69.5,75.3,8.7,44.2,73.2,3
Université de Montpellier,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,67.8,47.8,30.5,55.7,72.2,80.5,65.2,76.9,5.2,56.9,82.6,3
Dalian University of Technology,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,60,44.6,20.9,48.4,64,57.4,69.7,63,13.6,50.1,71.9,3
Hunan University ,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,59.5,29.3,17.7,45.9,65.3,51.2,73.2,63.8,4.8,17,72.4,3
University of Electronic Science and Technology of China,5.3,5,8.2,99.1,3.2,2.5,73.3,7.2,55.6,29,23.1,38,66.9,45.4,69.1,62.4,4.8,20.2,68,3
University of Stirling,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,81.7,65.2,85.6,94.1,80.1,72.6,65.4,98,47.6,67.7,79,3
National Taiwan Normal University,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,61.6,66.5,86.8,67.8,45.1,79.2,64.4,52.1,57.2,67.8,72.5,3
University of Kansas,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,71.5,54.6,41.2,64.6,68.2,73.9,79,72.2,19.7,74.7,65.2,3
Beihang University (former BUAA),12.1,7.8,41.5,72.1,7,4.5,51.2,12.8,54.2,40.6,22,28.5,65,53.4,73,60.6,4.8,46.9,71.3,3
University of Guelph,12.8,12.8,5,50.1,46.4,14.3,65.2,11.2,85.9,65.9,90.7,89,93.9,72.6,76.7,93.2,45.6,70.6,80,3
Umea University,19.9,11.6,71.8,15.2,51.1,21.8,78,9,73.6,50.5,30,71.5,68.3,84.2,71.3,78.7,19.7,50.5,82.9,3
Université de Strasbourg,39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4,61.8,36.5,22.9,48,62.8,74.7,65.2,68.4,13,28.1,72,3
"Stony Brook University, State University of New York",18,7.3,32.2,23.6,34.7,43.5,76,21.2,82.2,67.7,84.2,97,74.7,69.5,75.5,88.7,45.7,63.1,95,3
Universidad de Santiago de Chile (USACH),43.4,55,7.2,4.2,6.3,2.2,51.1,12.7,64.1,34,75.9,71.6,56.1,62.5,58.6,78.5,19.1,32.1,51.3,3
Universidad de Sevilla,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16,82.4,58.2,83.9,84.2,86.5,81,69.5,93,32,65.7,75.5,3
Tampere University,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,76.2,44.8,30.1,75.8,67.2,84.5,78,75.7,22.7,42.3,71.9,3
Macau University of Science and Technology,4.4,3.4,3.9,56.4,100,100,26.2,29.5,52.4,49.4,59.8,57.1,40.2,53.7,54,64.6,38.7,32.2,81.2,3
Kobe University,28.4,33.2,43.9,11.4,7,5.6,55,15,67.8,65.4,64.1,63.3,76.8,44.9,71.9,84.9,52.8,70,70.9,3
University at Buffalo SUNY,18,10.7,8.8,33.6,20.1,36.9,68.6,33.3,81.7,70.8,85.9,91.5,71,77,76.7,92.8,55.6,71.2,84.7,3
Universität Konstanz,18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1,79,57.3,89.2,89.9,67.5,82.5,67.9,87.1,60.7,31.2,84.9,3
Washington State University,23.3,20,15.5,33.5,47.1,5,77.3,8.6,76.4,49.8,32.2,72.1,78.7,70.3,82,74.4,14.1,56,81,3
Universitat Ramon Llull,11,52,8.7,8.1,93.6,43.1,32.6,71.7,64.4,48.5,56.4,74.6,50.1,72.6,61.2,63.6,51.7,29.6,67.3,3
Iowa State University,20.7,12,9.1,47.9,7.5,12.5,77.3,32.9,75,52.3,32.3,67.5,79.4,66.7,83.3,73.4,14.8,62,80.5,3
Ben-Gurion University of The Negev,14.4,14.5,11.1,51.7,64,14.3,64.9,16.3,68.3,41.5,27.2,65.2,54.3,74.2,77.1,75,10.9,45.3,70.3,3
"Essex, University of",15.5,5.2,12.7,22.6,99.8,98.6,75.1,14,72.5,36.3,40,76.6,72.3,76,63.8,75.5,27.3,13.7,74.8,3
Johannes Kepler University Linz,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,69,32.6,71.2,84.4,59,61.4,67.6,65.4,16.6,20.7,65.6,3
Bangor University,8.6,5.8,12.1,43,40.7,52.3,75,8.1,77.3,74.9,90.1,84.5,79.2,65.8,64.5,98.2,41.6,84.6,97,3
Universität Potsdam,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,82,58.2,85,86.4,81.5,83.8,67.1,94.8,36.3,57.7,81.8,3
Hiroshima University,24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9,70.2,62.5,68.9,63.9,77.3,46.4,78.7,84.7,42.7,64.6,79.3,3
Royal Holloway University of London,14.9,5.7,13,27.2,94.1,86.9,73.2,7.2,69,49.4,29.2,66.9,68.4,70.9,68.1,73.2,21,54.1,73,3
Bilkent University,24,52.1,13.3,15.2,61.4,3.7,38.3,19.3,66.9,27.7,86.8,74.4,83.1,55.3,57.5,54.7,32,9.7,45.5,3
Indian Institute of Technology Indore (IIT Indore),6.1,5,27.1,95.6,2.1,1.1,23.6,2.2,38.5,49.1,54,29.6,68,13.3,28.9,65.4,32.7,55.5,57.5,3
Ajman University,17.3,42.2,9.6,3.2,100,100,48.4,9.8,47.5,23.2,35.8,50.9,52.4,47,45.6,41.8,50,9.7,9.6,3
Aix-Marseille University,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,69.7,53.9,27.5,62.5,71.9,80.6,65.3,75.7,20.9,60.5,80.4,3
"The University of Tennessee, Knoxville",10.1,8.2,9.5,76.3,4.9,2.4,77.3,11,69.7,43.5,29.3,61.8,65.2,68.3,80.9,74.4,4,47.7,81.4,3
China Agricultural University ,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,55.8,43,24.9,44.3,66.6,53.4,57.7,65.2,4.8,51,74.3,3
National Sun Yat-sen University,26.5,24.9,32,22.1,22.7,10.8,35.6,11.4,65.5,63.8,78.2,72.8,48,65.7,74.7,63.8,49.6,68.1,71.7,3
Universität Mannheim,15.3,53.9,3,31,42.4,22.7,27.9,34.9,58.1,16.4,24.6,58.9,24.4,80.8,78.2,50.3,23.1,1,27.8,3
Chung-Ang University (CAU),16,31.9,67.8,9.3,14.2,37.8,29.9,13.5,70.4,56.8,89.1,64.7,52.3,75.4,84,82.9,54.6,35.8,83.9,3
University of Jyväskylä,16.2,11.4,87.7,12.1,44,2.6,81.2,10.4,71.1,44.4,25.9,72.8,61.5,84.7,67.4,74.2,22.7,40.3,72.6,3
UNESP,41.1,25.8,13,16.2,5.9,2.7,70.9,1.5,59.8,52.5,30.8,49.2,79.6,34.9,69.7,60.4,26.1,63.8,66.3,3
Shanghai University,20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9,65.8,41.7,28,54,77.8,60.9,73.9,58.8,12.4,42.8,71.2,3
Chongqing University,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,58.1,36.7,20.6,37.4,65.2,59.5,72.2,63.8,4.8,36.1,73.1,3
Central Queensland University (CQUniversity Australia),9,6.7,29.4,20.9,97.1,97.8,44,3.1,77.3,54.6,69.4,95.3,64.4,81.8,60.1,90.7,40.6,48.1,76.1,3
Duy Tan University,11.9,25.3,3.9,49,37.7,1.4,83.5,4.4,62.5,53.9,74.2,56.1,80.8,25.9,67.9,81.7,33.1,45.1,86.4,3
"University of California, Riverside",16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,70.9,49.4,27.4,70.3,64.7,69.3,75.2,74.6,15.1,53.4,80.4,3
Universidad de Costa Rica,35.4,24.3,32.3,1.6,2.4,2,45.5,81.6,57.4,44.4,91.4,51.1,82.9,44.1,42.1,77.9,37.4,34.9,62.9,3
Jilin University,12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2,65.1,41.7,20.8,53.9,65.8,57.9,81.9,61,16.1,42.1,68.5,3
University of Huddersfield,12.7,12.4,7.5,19.4,63.7,85.6,73,1.3,80.8,62.5,88,90.9,75.7,69.6,74.9,89.7,56.4,50.9,80.5,2
Colorado School of Mines,6.8,12.5,15.8,72,29.7,7.4,30.9,17.7,59.5,54.8,39.3,57.6,43.7,53.3,77.1,68,19.7,66.4,76.6,2
Johannes Gutenberg Universität Mainz,22.3,11.4,57.8,11.5,42,15.5,87,11.4,70.6,44.2,29.1,61.8,69.4,77.3,75.4,73.4,13,50.6,69.4,2
East China Normal University,13.3,4.7,16.2,63.5,24.1,9,72,9,65.8,35.4,26.6,57.9,78.3,66.3,63.7,65.2,13.4,21.3,77.9,2
Abu Dhabi University,15.9,24.6,14.9,16.7,100,99.8,27.3,8.3,55.1,21.6,19,70.9,51.6,41.4,63.6,27.2,22.7,13.4,30,2
University of Delaware,9.4,7.9,6.6,53.9,30,12.6,66.5,16.9,79.4,63.4,68,90,72.5,71.3,70.7,92.4,23,71.4,96,2
University of Trento,24.9,10.5,22,32.7,29.6,6.1,85.8,4.4,68.8,48.9,28.8,68.8,58.7,80,68.4,72.8,14.2,60.3,71.4,2
Aristotle University of Thessaloniki,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,75.5,58.9,40.9,78.5,77.6,71.6,68.8,80.1,28.4,58.6,90.4,2
SOAS University of London ,17.1,9.4,14.8,15.1,100,98.7,16.9,22.4,69.5,55.5,68.1,90.8,62.7,57,51.1,88.1,58.2,32.2,79.9,2
Shenzhen University,7.7,3.2,42.1,64.5,11,1.4,65.1,15.8,63.2,39.9,23,59.4,66.9,63.8,63.3,64,10.4,39.1,72.8,2
Ewha Womans University,22.1,21.2,76.3,6.9,7,24.4,31.3,23,69.9,48.7,80.9,64,64.9,78.6,69.8,79.5,35.7,50.9,57.5,2
Zhengzhou University,5.4,22,4.9,80.3,0,2.4,56.3,5.7,54.9,30.2,22.6,36.5,61.4,43.8,74.4,62,4.8,21.5,69.3,2
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),10.5,11.4,89.5,2.6,98.2,19.7,68.3,2.4,66,42.4,68.4,73.4,75.3,47.8,56.9,76.5,43.1,18.9,70.2,2
University of Milano-Bicocca ,20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5,69.5,44.2,26.2,64.5,67.5,80.5,67.9,72,16.1,49.4,67.6,2
Prince Mohammad Bin Fahd university,20.3,23,23.1,27.8,100,18.8,23.3,2.8,34.8,31.1,36.6,43.4,43.8,11.6,35.4,38,42,9.7,45.5,2
University of Hull,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,74.3,66.8,83.5,82.6,70.3,70.6,61.1,95.6,55.1,53.3,93.5,2
Kyungpook National University,11.1,16.7,66.9,20.5,11.1,25.7,52,10.6,68.8,66.1,87.6,64.6,67.6,49.2,77.7,88.1,48.8,66.3,82.1,2
Ateneo de Manila University,21.4,64.5,24.4,1.8,2.9,2.5,23,70.6,56.1,48.7,70.7,65.6,65,33,60.6,39.6,78.5,26.7,41.1,2
Ural Federal University - UrFU,19.6,14.2,95.5,2.1,5.4,25.3,86.6,1.9,49.8,47.6,87.8,48.9,70.1,37.3,45.5,44.1,30.4,58.3,50.5,2
Sabanci University,19.5,44.6,38.2,19.4,32,14.2,25.9,7.2,62.8,36.7,42.6,73.9,75.8,30.1,63.3,54.3,35.4,25.5,51.6,2
Edith Cowan University ,8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7,63,35.6,26.1,62.1,46.7,82.6,62.2,71.2,10.9,29.1,71.8,2
Canadian University Dubai,20.1,19.9,33.5,2.7,100,100,14,17.4,36.6,29.9,66.7,58.4,31.9,14.8,35.9,37.4,50.7,18.5,20,2
Pusan National University,18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8,71.1,71.1,69,76.2,64.5,53.3,76.4,83.3,54.9,73.8,82.7,2
Universidad Austral,20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9,40.6,29.5,28.3,51,41.6,34.6,35.5,41.8,61.5,9.7,18,2
Coventry University,9.9,10.4,16.9,7.1,77,99.9,82.6,10,80.3,56.8,90.1,92.9,74.1,72.8,69.6,92,48.5,49.4,72.7,2
Universität Jena,17.2,5.7,99.9,8.8,0,20.2,94.7,3.9,67.2,44.2,26.9,53.6,72.7,78.1,66.8,74.6,8.7,45.8,80.5,2
Universität Leipzig,23.5,9.7,74.8,8.4,0,14.2,84.3,10.5,68.8,51.6,26.2,57,72.5,73.7,71.2,76.9,22.5,52.3,81.4,2
University of Bayreuth,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9,63.7,46,23.7,52.4,63.5,73.9,64.7,73,8.7,55.8,73.8,2
Missouri University of Science and Technology,4,6.1,5.7,86.2,35.2,12.8,30.5,4.8,43.8,34.9,19.7,37.3,41.6,43.8,55.4,43.1,4,39.2,62.9,2
Warsaw University of Technology,23.3,51.9,42.6,4.7,2.4,10.3,60.6,9.8,45.2,26.5,28.2,30.2,48.8,33.1,71.4,40,10.1,31.9,37.8,2
University of Bradford,9.1,7.1,6.8,21.7,68.5,97.6,66,34.3,70.4,52.8,81.4,79.4,59.4,69.9,66,80.9,38.4,56.9,60.8,2
University of Utah,15.7,6.3,50,30.5,15.5,10.3,80.5,17.4,73.9,48.2,30.7,72.9,68.9,74.4,77.9,74.2,14.8,51.6,80.1,2
Indian Institute of Technology (BHU) Varanasi,5.5,5.9,3.9,95,1.4,1.1,24.5,6.5,45.6,50.3,78.4,38,79.1,19.7,39.6,51.1,42.1,38.8,72.6,2
Universidad Nacional de La Plata (UNLP),40.8,19.2,28.4,1.9,5.3,22.6,55.4,27.3,57.4,25.2,31.2,54.5,77.7,47.5,50.8,55.3,7.6,24.7,45.5,2
University of Eastern Finland,13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2,79.2,72.9,73.1,81.4,77.6,84.5,63.3,97.6,57.6,65.4,97.3,2
Northumbria University at Newcastle,10.9,10.8,11.8,15.8,70.7,56.2,78.4,14,81,64.5,88.5,87.6,76.7,69.2,77.1,94.6,43.1,61.2,90,2
University of Bordeaux,31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7,68.3,50.5,29.7,66.5,70.6,59.3,69.2,75,22.9,52.3,77.5,2
University of Salamanca,26.9,14.6,26,6.2,6.9,14.9,80,23.4,78,64.5,83.4,85.5,78.3,87.4,57.9,86.1,47.2,66.8,77.6,2
Université de Fribourg,10.3,3,7.5,25.4,99.9,38.3,58.3,40.6,72,58.2,83.2,82.2,74.2,77.3,48.1,85.1,29.2,59,87.6,2
Sunway University,13,39.2,44,10.3,35.9,33.2,51.1,3.9,68.5,49.1,62.5,74.6,81.3,43.4,71.2,58.1,45.5,29.4,76.8,2
Applied Science University - Bahrain,23.5,25,39.3,2,100,46.8,13.3,11.3,39.9,25.2,80.6,57,50.1,13.9,36.8,31.6,38.9,18.5,17.4,2
Universidad de Zaragoza,21.3,5.1,56.1,7,4.5,9,89.5,10.7,81.7,64.5,93.3,94.2,86.3,83.1,56,91.8,37,67.1,89,2
Universidad Pontificia Comillas,8.3,71.6,38.3,2.2,18.7,5,9,85.4,58.6,32.4,73.8,69.7,39.2,64.7,63.2,54.7,29.9,12,60.6,2
University of Genoa,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,64.1,59.1,77.6,67.9,62.7,61.2,53.5,85.5,47,58.7,70,2
